program_id,school_name,city,state,program_url,url_status,search_attempts,url_confidence,fact_sheet_url,search_query_used,scrape_notes,estimated_year,validation_status,rejection_reason,total_program_cost,data_year,tuition_per_year,fees_per_year,rediscovery_status,apta_program_url,outcomes_url,extracted_from_url,graduation_rate_pct,board_pass_rate_pct,employment_rate_pct,apta_landing_confirmed,program_length_months,extraction_notes,cost_basis,cost_components,tuition_instate,tuition_is_oos
59,"California State University, Northridge",,California,https://www.csun.edu/health-human-development/physical-therapy,url_found,3,high,https://live-csu-northridge.pantheonsite.io/sites/default/files/2025-11/2025-dpt-student-financial-fact-sheet_CSUN%202025.pdf,"California State University, Northridge DPT financial fact sheet",,2025,valid,,98797,2025,28980,2100,,https://www.csun.edu/health-human-development/physical-therapy,http://www.csun.edu/health-human-development/physical-therapy/,,,,,,30,len:ealth-human-development/physical-therapy,per_year,"$28,980/yr x 2.5yr + fees/expenses",,
68,"California State University, Sacramento",,California,https://www.csus.edu/college/health-human-services/physical-therapy/,url_found,3,high,https://www.csus.edu/college/health-human-services/physical-therapy/_internal/documents/2025-dpt-student-financial-fact-sheet1.pdf,"California State University, Sacramento DPT financial fact sheet",,2025,valid,,99176,2025,46490,3846,,https://www.csus.edu/college/health-human-services/physical-therapy/,https://www.csus.edu/college/health-human-services/physical-therapy/accreditation.html,,,,,,36,len:25-dpt-student-financial-fact-sheet1.pdf,per_year,"OOS tuition $46,490/yr + fees $3,846/yr + other $232-298/yr",28980,yes
60,Chapman University,,California,http://www.chapman.edu/PT,url_found,3,high,https://www.chapman.edu/crean/academic-programs/graduate-programs/physical-therapy/_files/dpt_fact-sheet-2023_2024.pdf,Chapman University DPT financial fact sheet,,2023,valid,,161411,2023-2024,51840,1963,,http://www.chapman.edu/PT,http://www.chapman.edu/PT,,,,,True,31,cost+len:fact_sheet_stale,total,"$50,316 + $51,825 + $53,379 + fees",,
61,Loma Linda University,,California,https://alliedhealth.llu.edu/academics/physical-therapy/entry-level-doctor-physical-therapy-dpt,url_found,3,high,https://alliedhealth.llu.edu/sites/alliedhealth.llu.edu/files/2023-03/student-debt-summary-2-22-23.pdf,Loma Linda University DPT financial fact sheet,,2023,valid,,111880,2022-2023,43807,3800,found,https://alliedhealth.llu.edu/academics/physical-therapy/entry-level-doctor-physical-therapy-dpt,https://alliedhealth.llu.edu/academics/physical-therapy/entry-level-doctor-physical-therapy-dpt,https://alliedhealth.llu.edu/sites/alliedhealth.llu.edu/files/2023-03/student-debt-summary-2-22-23.pdf,,,,True,36,cost+len:fact_sheet_stale,total,"Tuition $97,486 + Fees $11,400 + Other costs $2,994",,
62,Mount Saint Mary's University,,California,https://www.msmu.edu/departments/physical-therapy/,url_found,3,high,https://www.msmu.edu/media/website/academics/departments/physical-therapy/2025-dpt-student-financial-fact-sheet.pdf,Mount Saint Mary's University DPT financial fact sheet,,2025,valid,,161783,2025,55232,5362,,https://www.msmu.edu/departments/physical-therapy/,https://www.msmu.edu/departments/physical-therapy/,,,,,,33,len+cost:025-dpt-student-financial-fact-sheet.pdf,total,"Year 1: $62,194.50 + Year 2: $48,817.00 + Year 3: $50,772.00",,
66,Samuel Merritt University,,California,https://www.samuelmerritt.edu/college-health-sciences/doctor-physical-therapy,url_found,3,high,https://www.samuelmerritt.edu/sites/default/files/2025-11/2025-dpt-student-financial-fact-sheet.pdf,Samuel Merritt University DPT financial fact sheet,,2025,valid,,168858,2025,65292,5481,,https://www.samuelmerritt.edu/college-health-sciences/doctor-physical-therapy,https://www.samuelmerritt.edu/college-health-science/doctor-physical-therapy,,,,,,32,len+cost:025-dpt-student-financial-fact-sheet.pdf,total,"Y1:$62,232+$5,481+$3,447; Y2:$65,343+$2,943; Y3:$26,705+$2,707",,
72,San Diego State University,,California,https://physicaltherapy.sdsu.edu/,url_found,3,high,https://physicaltherapy.sdsu.edu/prospective/tuition,San Diego State University DPT financial fact sheet,,2025,valid,,169105,2025-2026,47334,3966,found,https://physicaltherapy.sdsu.edu/,https://physicaltherapy.sdsu.edu/prospective/graduate-outcomes/,https://physicaltherapy.sdsu.edu/prospective/tuition,,,,,36,len:/prospective/tuition,total,"OOS tuition+fees+costs: $148,449+$11,898+$8,758",28434,yes
63,University of CA / San Francisco State University,,California,,url_found,3,high,https://ptrehab.ucsf.edu/dpt-program,University of CA / San Francisco State University DPT financial fact sheet,,2025,valid,,,2023-2025,,,found,,,https://ptrehab.ucsf.edu/dpt-program,98.0,88.4,100.0,,36,len+cost:/dpt-program,,,,
65,University of Southern California,,California,https://pt.usc.edu/programs/doctor-of-physical-therapy-dpt/,url_found,3,high,,University of Southern California DPT financial fact sheet,,2022,confirmed_landing,"Page contains tuition information for 2024-2025 academic year but is incomplete and cuts off mid-sentence. The page references financial facts sheets for graduates in 2025 as separate documents ('available here') rather than displaying the complete financial data on this page itself. No graduation rate, board pass rate, or employment rate data is present on this page. To extract complete financial and outcome data, those linked financial facts sheets would need to be accessed separately.",,,,,not_found,https://pt.usc.edu/programs/doctor-of-physical-therapy-dpt/,https://pt.usc.edu/programs/doctor-of-physical-therapy-dpt/legal/,,,,,,33,"AUDIT_CLEARED: fact_sheet is West Coast University, not USC",,,,
74,University of Southern California - Hybrid DPT  Program,,California,,url_found,3,high,https://pt.usc.edu/wp-content/uploads/2025-dpt-student-financial-fact-sheet-hybrid-pathway-2.pdf,University of Southern California - Hybrid DPT  Program DPT financial fact sheet,,2025,valid,,232815,2025,86125,1205,,,,,,,,,32,len+cost:inancial-fact-sheet-hybrid-pathway-2.pdf,total,"Year 1: $89,644 + Year 2: $89,014 + Year 3: $53,957",,
71,University of St Augustine for Health Sciences  ONLINE FLEX EXPANSION PROGRAM in San Diego,,California,,url_found,3,high,https://www.capteonline.org/globalassets/capte-docs/2024-dpt-student-financial-fact-sheet-revised-9.3.2024.docx,University of St Augustine for Health Sciences  ONLINE FLEX EXPANSION PROGRAM in San Diego DPT financial fact sheet,,2024,fetch_failed,no_url,180000,2024-2025,60000,,not_found,,,,,,,,36,cost+len:fact_sheet_stale,per_year,60000/yr x 3yr,,
69,University of St Augustine for Health Sciences -  California,,California,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,url_found,3,high,https://corp-mktg.s3.us-west-2.amazonaws.com/email/usc-dpt/student-financial-fact-sheet-hybrid-pathway.pdf,University of St Augustine for Health Sciences -  California physical therapy financial fact sheet,,,confirmed_landing,"This is the correct school's DPT program landing/overview page, but it does not contain financial data (tuition, fees, total cost) or outcome data (graduation rate, board pass rate, employment rate). The page mentions 'Tuition & Fees' as a link in the navigation menu but does not display the actual data on this page. Financial and outcome information would be on a linked sub-page.",226805,2024,84023,,,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,,,,,,28,len+cost:-financial-fact-sheet-hybrid-pathway.pdf,total,Year1 $87742 + Year2 $86687 + Year3 $52379,,
64,University of The Pacific,,California,https://www.pacific.edu/healthsciences/programs/doctor-of-physical-therapy,url_found,3,high,https://healthsciences.pacific.edu/sites/default/files/users/user815/2022-2023-University%20of%20the%20Pacific%20student-financial-fact-sheet.pdf,University of The Pacific DPT financial fact sheet,,2022,valid,,158258,2022-2023,73731,1275,,https://www.pacific.edu/healthsciences/programs/doctor-of-physical-therapy,https://www.pacific.edu/healthsciences/programs/doctor-of-physical-therapy,,,,,True,33,len+cost:cific%20student-financial-fact-sheet.pdf,per_year,73731/yr x 2.8yr + fees/expenses,,
73,West Coast University,,California,https://westcoastuniversity.edu/programs/doctor-physical-therapy,url_found,3,high,https://westcoastuniversity.edu/wp-content/uploads/2024/02/2023-dpt-student-financial-fact-sheet-01.24.pdf,West Coast University DPT financial fact sheet,,2024,valid,,120897,2025,40299,450,,https://westcoastuniversity.edu/programs/doctor-physical-therapy,https://westcoastuniversity.edu/programs/doctor-physical-therapy,https://westcoastuniversity.edu/programs/doctor-physical-therapy,,,,True,36,len+cost:/programs/doctor-physical-therapy,per_credit,$909/cr x 133cr,,
67,Western University of Health Sciences - California,,California,https://www.westernu.edu/health-sciences/dpt/,url_found,3,high,https://prospective.westernu.edu/media/health-sciences/dpt-or/pdfs/2023-dpt-student-financial-fact-sheet-2026-Final.pdf,Western University of Health Sciences - California DPT financial fact sheet,,2023,confirmed_landing,"This is the correct school's DPT program landing/overview page, but it contains no financial data (tuition, fees, total cost) or specific outcome metrics (graduation rate percentage, board pass rate percentage, employment rate percentage). While the chair's message mentions 'outstanding graduation rate' and 'licensure pass rate, way above the national norms,' these are qualitative statements without actual numerical values. Specific data would be found on linked sub-pages.",184844,2024-2025,49703,,,https://www.westernu.edu/health-sciences/dpt/,https://www.westernu.edu/health-sciences/dpt/,,,,,,32,cost:subfact-sheet-2024-2025-westernu-dpt-ca.pdf|len:subfact-sheet-2024-2025-westernu-dpt-ca.pdf,,,,
76,Regis University,,Colorado,https://www.regis.edu/academics/majors-and-programs/graduate/physical-therapy-dpt,url_found,3,high,https://www.regis.edu/_documents/academics/colleges-and-schools/physical-therapy/dpt-financial-fs-form.pdf,Regis University DPT financial fact sheet,,,valid,,132552,2025,50102,1510,,https://www.regis.edu/academics/majors-and-programs/graduate/physical-therapy-dpt,https://www.regis.edu/academics/colleges-and-schools/rueckert-hartman/physical-therapy/dpt-outcomes,,,,,,28,len+cost:ysical-therapy/dpt-financial-fs-form.pdf,total,"Yr1: $59,375 + Yr2: $48,444 + Yr3: $24,733",,
75,University of Colorado,,Colorado,https://medschool.cuanschutz.edu/physical-therapy-program,url_found,3,high,https://www.ucdenver.edu/docs/librariesprovider91/education-program-documents/cu-pt-residential-financial-fact-sheet-2024-2025_2024apr9.pdf?sfvrsn=738cd5bb_1,University of Colorado DPT financial fact sheet,,2024,valid,,73419,2024-2025,29280,552,,https://medschool.cuanschutz.edu/physical-therapy-program,https://medschool.cuanschutz.edu/physical-therapy-program/education-programs/doctor-of-physical-therapy/about-our-program/dpt-statistics-demographics,,,,,,34,len+cost:ancial-fact-sheet-2024-2025_2024apr9.pdf,total,"In-state: $29,292 Yr1 + $30,152 Yr2 + $13,975 Yr3",,
77,Quinnipiac University,,Connecticut,https://www.qu.edu/schools/health-sciences/programs/entry-level-doctor-physical-therapy.html,url_found,3,high,https://www.qu.edu/48fefa/globalassets/global/media/qu/documents/academics/school-of-health-sciences/programs/pa-2025/2025-dpt-student-financial-fact-sheet.pdf,Quinnipiac University DPT financial fact sheet,,2025,valid,,137950,2025,52710,2245,,https://www.qu.edu/schools/health-sciences/programs/entry-level-doctor-physical-therapy.html,https://www.qu.edu/schools/health-sciences/programs/entry-level-doctor-physical-therapy.html,,,,,,36,len+cost:025-dpt-student-financial-fact-sheet.pdf,total,"Year 1: $58,555 + Year 2: $43,875 + Year 3: $35,520",,
80,Sacred Heart University,,Connecticut,https://www.sacredheart.edu/academics/colleges--schools/college-of-health-professions/departments/physical-therapy/,url_found,3,high,https://www.sacredheart.edu/media/shu-media/physical-therapy/2025-SHU-DPT-Student-Financial-Fact-Sheet_ADA.pdf,Sacred Heart University DPT financial fact sheet,,2025,valid,,120830,2025,39500,110,,https://www.sacredheart.edu/academics/colleges--schools/college-of-health-professions/departments/physical-therapy/,https://www.sacredheart.edu/majors--programs/physical-therapy---dpt/student-outcomes/,,,,,,33,len+cost:DPT-Student-Financial-Fact-Sheet_ADA.pdf,total,"$39,500/yr tuition + $110/yr fees + $1000 prog costs, 3 yrs",,
78,University of Connecticut,,Connecticut,https://physicaltherapy.cahnr.uconn.edu/,url_found,3,high,,University of Connecticut DPT financial fact sheet,,2025,confirmed_landing,"This is the correct school's DPT program landing page, but financial data (tuition, fees, total program cost) is not present on this page. While outcome data is provided (graduation rate, board pass rate, employment rate), the financial information referenced as 'Learn More' appears to be on a linked sub-page, not on this current page. For data extraction purposes, this page lacks the complete financial dataset needed.",184646,2025-2026,65328,,,https://physicaltherapy.cahnr.uconn.edu/,https://physicaltherapy.cahnr.uconn.edu/student-performance/,,,,,,36,cost+len:apta_direct+cost:sub/costs|len:sub/costs,,,,
79,University of Hartford,,Connecticut,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx,url_found,3,high,https://health.utah.edu/documents/dpt-financial-fact-sheet,University of Hartford DPT financial fact sheet,,,valid,,102135,2025-2026,34045,380,,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-rehabilitation-sciences/doctor-of-physical-therapy.aspx,,100.0,100.0,,36,len+cost:sciences/doctor-of-physical-therapy.aspx,total,"$41,371 (Y1) + $34,835 (Y2) + $25,705 (Y3)",,
81,University of Delaware,,Delaware,https://www.udel.edu/academics/colleges/chs/departments/pt/,url_found,3,high,,University of Delaware DPT financial fact sheet,,2024,confirmed_landing,"This is the main landing page for University of Delaware's DPT program. While it mentions 'View Student Financial Fact Sheet' and 'View Student Outcomes' as links, the actual financial data (tuition, fees, total program cost) and outcome data (graduation rate, board pass rate, employment rate) are not present on this page itself - they are on linked sub-pages that are not provided.",120284,2025,43722,,,https://www.udel.edu/academics/colleges/chs/departments/pt/,https://www.udel.edu/academics/colleges/chs/departments/pt/about/student-outcomes/,,,,,,30,cost+len:apta_direct+cost:sub025-dpt-student-financial-fact-sheet.pdf|len:sub025-dpt-student-financi,,,,
83,George Washington University,,District of Columbia,http://physicaltherapy.smhs.gwu.edu,url_found,3,high,https://cdn.ewu.edu/chsph/wp-content/uploads/sites/4/2025/07/Financial-fact-sheet-2025.pdf,George Washington University DPT financial fact sheet,,2025,confirmed_landing,"This is the landing/overview page for GW's DPT program. While it mentions 'Financial Fact Sheet' and 'DPT Program Outcomes' as sections, the actual data is not present on this page - those appear to be links to separate pages. No tuition, fees, costs, graduation rate, board pass rate, or employment rate data is displayed on this page itself.",151370,2025,48954,,,http://physicaltherapy.smhs.gwu.edu,https://smhs.gwu.edu/physical-therapy/dpt-program/program-outcomes,,,,,,36,len:/+cost:sub/financial-fact-sheet|len:sub/financial-fact-sheet,per_year,"$16,860.90/yr (in-state) x 3yr + fees/expenses",,
